source_cluster,source_modern,found_name,found_normalized,category,relationship,confidence,matched_clusters,is_cross_link
"Galen","Galen","Rasis","Rhazes",PERSON,"mentioned alongside",high,395,True
"Galen","Galen","Benzacaria","Ibn Zuhr",PERSON,"synonym for Rasis",high,,False
"Galen","Galen","HaUrodoam","Al-Razi",PERSON,"mentioned alongside",medium,,False
"Galen","Galen","Mesué","Mesue the Younger",PERSON,"mentioned alongside",high,546,True
"Galen","Galen","Hypocras","Hippocrates",PERSON,"mentioned alongside",high,21,True
"Galen","Galen","Aris- tóteles","Aristotle",PERSON,"mentioned alongside",high,,False
"Galen","Galen","Platão","Plato",PERSON,"mentioned alongside",high,242,True
"Galen","Galen","MuUás","Mullahs",PERSON,"called",medium,,False
"Galen","Galen","Avicena","Avicenna",PERSON,"mentioned alongside",high,19,True
"Galen","Galen","calamo yngoentarío","calamus aromaticus",PLANT,"synonym for arata",high,,False
"Galen","Galen","calamo arábio","calamus arabicus",PLANT,"synonym for arata",high,,False
"Galen","Galen","calamo ale- xandrino","calamus alexandrinus",PLANT,"synonym for arata",high,,False
"Galen","Galen","Hipocras","Hippocrates",PERSON,"mentioned alongside",high,21,True
"Galen","Galen","Plutarco","Plutarch",PERSON,"mentioned alongside",high,,False
"Galen","Galen","Cornelio Celso","Cornelius Celsus",PERSON,"mentioned alongside",high,180,True
"Galen","Galen","cardamomo mayor","greater cardamom",PLANT,"mentioned alongside",high,,False
"Galen","Galen","cardamomo menor","lesser cardamom",PLANT,"mentioned alongside",high,,False
"Galen","Galen","Plinio","Pliny the Elder",PERSON,"mentioned alongside",high,25,True
"Galen","Galen","Dioscorides","Dioscorides",PERSON,"mentioned alongside",high,3,True
"Galen","Galen","Diocorides","Dioscorides",PERSON,"mentioned alongside",high,3,True
"Galen","Galen","Avicena","Avicenna",PERSON,"mentioned alongside",high,19,True
"Galen","Galen","Serapiam","Serapion the Younger",PERSON,"mentioned alongside",high,59,True
"Galen","Galen","Serapião","Serapion the Younger",PERSON,"mentioned alongside",high,59,True
"Galen","Galen","Dioscorides","Dioscorides",PERSON,"mentioned alongside",high,3,True
"Galen","Galen","mtrtus sihestris","myrtus sylvestris",PLANT,"synonym for cubebas",high,,False
"Galen","Galen","mirto agreste","myrtle agreste",PLANT,"synonym for cubebas",high,,False
"Galen","Galen","Plinio","Pliny the Elder",PERSON,"mentioned alongside",high,25,True
"Galen","Galen","Dioscorides","Dioscorides",PERSON,"mentioned alongside",high,3,True
"Galen","Galen","Avicena","Avicenna",PERSON,"mentioned alongside",high,19,True
"Galen","Galen","Serapiam","Serapion the Younger",PERSON,"mentioned alongside",high,59,True
"Galen","Galen","Rasis","Rhazes",PERSON,"mentioned alongside",high,395,True
"Galen","Galen","licium","lycium",SUBSTANCE,"synonym for cate",high,,False
"Galen","Galen","Auicenna","Avicenna",PERSON,"mentioned alongside",high,19,True
"Galen","Galen","ruteggiare","rue",PLANT,"alternative term for",low,416,True
